idx,tag,band,song,drum_tempo_bpm,audio_status,cand_0.25_bpm,cand_0.25_acf,cand_0.5_bpm,cand_0.5_acf,cand_1.0_bpm,cand_1.0_acf,cand_2.0_bpm,cand_2.0_acf,cand_4.0_bpm,cand_4.0_acf,cand_0.667_bpm,cand_0.667_acf,cand_1.5_bpm,cand_1.5_acf
0,afterglow__000,afterglow,ON YOUR MARK,92.3,ok,23.075,0.5793501734733582,46.15,0.6331846714019775,92.3,0.6768192052841187,184.6,0.6606537103652954,369.2,0.5188876986503601,61.53333333333333,0.603325605392456,138.45,0.16461795568466187
1,afterglow__001,afterglow,That Is How I Roll!,90.7,ok,22.675,0.4569123387336731,45.35,0.6008914113044739,90.7,0.6343963742256165,181.4,0.562146782875061,362.8,0.44135230779647827,60.46666666666667,0.5080369114875793,136.05,0.14916729927062988
2,afterglow__002,afterglow,SENSENFUKOKU,99.4,ok,24.85,0.48203036189079285,49.7,0.5418024063110352,99.4,0.5904943943023682,198.8,0.5200470089912415,397.6,0.42134854197502136,66.26666666666667,0.4986990988254547,149.10000000000002,0.16710595786571503
3,afterglow__003,afterglow,I knew it!,99.4,ok,24.85,0.535035252571106,49.7,0.6601157784461975,99.4,0.6732470989227295,198.8,0.6369630694389343,397.6,0.45537298917770386,66.26666666666667,0.5658184885978699,149.10000000000002,0.15333591401576996
4,afterglow__004,afterglow,ツナグ、ソラモヨウ,95.7,ok,23.925,0.611400842666626,47.85,0.7023574709892273,95.7,0.7187079787254333,191.4,0.6017066836357117,382.8,0.41965487599372864,63.8,0.5606096982955933,143.55,0.11780567467212677
5,afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),156.6,ok,39.15,0.5465048551559448,78.3,0.6197319626808167,156.6,0.558655858039856,313.2,0.39684996008872986,626.4,0.2103775143623352,104.39999999999999,0.379086971282959,234.89999999999998,0.24126096069812775
6,afterglow__006,afterglow,"Easy come, Easy go!",136.0,ok,34.0,0.5494155287742615,68.0,0.6131105422973633,136.0,0.6677034497261047,272.0,0.5122801661491394,544.0,0.400368332862854,90.66666666666666,0.4694378077983856,204.0,0.13150179386138916
7,afterglow__007,afterglow,Sasanqua,99.4,ok,24.85,0.6094332933425903,49.7,0.5842990875244141,99.4,0.5920093655586243,198.8,0.5370633006095886,397.6,0.39355748891830444,66.26666666666667,0.5048460960388184,149.10000000000002,0.1455814689397812
8,afterglow__008,afterglow,RED RED RED,94.0,ok,23.5,0.628497838973999,47.0,0.6480740308761597,94.0,0.6476753354072571,188.0,0.5399985313415527,376.0,0.462694376707077,62.666666666666664,0.5046893954277039,141.0,0.19693070650100708
9,afterglow__009,afterglow,ONE OF US,105.5,ok,26.375,0.5882148146629333,52.75,0.6683745980262756,105.5,0.685447096824646,211.0,0.508540153503418,422.0,0.4144735038280487,70.33333333333333,0.4840831458568573,158.25,0.1867070496082306
10,afterglow__010,afterglow,Y.O.L.O!!!!!,105.5,ok,26.375,0.5600955486297607,52.75,0.6397649049758911,105.5,0.6644852161407471,211.0,0.5335224866867065,422.0,0.44822990894317627,70.33333333333333,0.4906712472438812,158.25,0.1726773977279663
11,afterglow__011,afterglow,Scarlet Sky,90.7,ok,22.675,0.4854357838630676,45.35,0.6352006196975708,90.7,0.7013705968856812,181.4,0.5297762751579285,362.8,0.49776676297187805,60.46666666666667,0.4791344404220581,136.05,0.1946173906326294
12,afterglow__012,afterglow,Off we go.,120.2,ok,30.05,0.5264300107955933,60.1,0.4840325117111206,120.2,0.5449118614196777,240.4,0.14639917016029358,480.8,0.1287773847579956,80.13333333333333,0.12589700520038605,180.3,0.5049612522125244
