idx,tag,band,song,drum_tempo_bpm,bestdori_id,official_bpm,n_unique_bpm,estimated_bpm,final_bpm,bpm_source
0,afterglow__000,afterglow,ON YOUR MARK,92.3,184.0,185.0,1.0,184.6,185.0,official
1,afterglow__001,afterglow,That Is How I Roll!,90.7,26.0,180.0,1.0,181.4,180.0,official
2,afterglow__002,afterglow,SENSENFUKOKU,99.4,304.0,200.0,1.0,198.8,200.0,official
3,afterglow__003,afterglow,I knew it!,99.4,284.0,200.0,1.0,198.8,200.0,official
4,afterglow__004,afterglow,ツナグ、ソラモヨウ,95.7,144.0,192.0,1.0,191.4,192.0,official
5,afterglow__005,afterglow,Hey-day狂騒曲(カプリチオ),156.6,65.0,158.0,1.0,156.6,158.0,official
6,afterglow__006,afterglow,"Easy come, Easy go!",136.0,207.0,135.0,1.0,136.0,135.0,official
7,afterglow__007,afterglow,Sasanqua,99.4,222.0,198.0,1.0,198.8,198.0,official
8,afterglow__008,afterglow,RED RED RED,94.0,270.0,188.0,1.0,188.0,188.0,official
9,afterglow__009,afterglow,ONE OF US,105.5,293.0,210.0,5.0,211.0,210.0,official
10,afterglow__010,afterglow,Y.O.L.O!!!!!,105.5,93.0,210.0,2.0,211.0,210.0,official
11,afterglow__011,afterglow,Scarlet Sky,90.7,28.0,180.0,1.0,181.4,180.0,official
12,afterglow__012,afterglow,Off we go.,120.2,372.0,180.0,1.0,120.2,180.0,official
13,afterglow__013,afterglow,いつも通りのBrand new days,95.7,185.0,192.0,1.0,191.4,192.0,official
14,afterglow__014,afterglow,SWITCH ON NOW,99.4,425.0,200.0,1.0,198.8,200.0,official
15,afterglow__015,afterglow,ランブリングメモリー,126.0,156.0,125.0,2.0,126.0,125.0,official
16,afterglow__016,afterglow,COMIC PANIC!!!,105.5,121.0,210.0,1.0,211.0,210.0,official
17,afterglow__017,afterglow,Trouble Joyful!!,97.5,356.0,194.0,1.0,195.0,194.0,official
18,afterglow__018,afterglow,Jamboree!Journey!,78.3,113.0,156.0,1.0,156.6,156.0,official
19,afterglow__019,afterglow,カナユメ,126.0,340.0,125.0,1.0,126.0,125.0,official
20,afterglow__020,afterglow,独創収差,126.0,442.0,126.0,1.0,126.0,126.0,official
21,afterglow__021,afterglow,極彩色,92.3,521.0,185.0,1.0,184.6,185.0,official
22,afterglow__022,afterglow,サクラゼンセン,139.7,414.0,140.0,1.0,139.7,140.0,official
23,afterglow__023,afterglow,True color,79.5,27.0,160.0,1.0,159.0,160.0,official
24,afterglow__024,afterglow,Crow Song,87.6,154.0,174.0,1.0,175.2,174.0,official
25,afterglow__025,afterglow,カサブタ,86.1,277.0,172.0,1.0,172.2,172.0,official
26,afterglow__026,afterglow,アイのシナリオ,90.7,215.0,180.0,1.0,181.4,180.0,official
27,afterglow__027,afterglow,Northern lights,136.0,309.0,135.0,1.0,136.0,135.0,official
28,afterglow__028,afterglow,トーキョーワンダー。,136.0,423.0,138.0,1.0,136.0,138.0,official
29,afterglow__029,afterglow,Reach Out To The Truth,84.7,134.0,170.0,1.0,169.4,170.0,official
30,afterglow__030,afterglow,Listen!!,87.6,394.0,175.0,1.0,175.2,175.0,official
31,afterglow__031,afterglow,青い栞,132.5,205.0,132.0,1.0,132.5,132.0,official
32,afterglow__032,afterglow,イマジネーション,101.3,117.0,204.0,1.0,202.6,204.0,official
33,afterglow__033,afterglow,Butter-Fly,86.1,11.0,171.0,1.0,172.2,171.0,official
34,afterglow__034,afterglow,燦々,97.5,526.0,196.0,1.0,195.0,196.0,official
35,afterglow__035,afterglow,That's why I'm here.,92.3,,,,184.6,184.6,estimated
36,afterglow__036,afterglow,IGNITE GLOW,132.5,470.0,132.0,1.0,132.5,132.0,official
37,afterglow__037,afterglow,ペトリコール・オベーション,92.3,510.0,185.0,1.0,184.6,185.0,official
38,afterglow__038,afterglow,Made My Day,95.7,488.0,190.0,2.0,191.4,190.0,official
39,afterglow__039,afterglow,Glowing After,99.4,611.0,198.0,1.0,198.8,198.0,official
40,afterglow__040,afterglow,A Sunset So Bright,126.0,577.0,190.0,1.0,126.0,190.0,official
41,afterglow__041,afterglow,Start as Usual,90.7,622.0,180.0,2.0,181.4,180.0,official
42,afterglow__042,afterglow,“Say cheese!!!!!”,120.2,646.0,120.0,1.0,120.2,120.0,official
43,afterglow__043,afterglow,花笑みのデュオ,99.4,666.0,200.0,1.0,198.8,200.0,official
44,afterglow__044,afterglow,READY STEADY GO (Cover),143.6,78.0,144.0,1.0,143.6,144.0,official
45,afterglow__045,afterglow,abnormalize (Cover),87.6,444.0,175.0,1.0,175.2,175.0,official
46,afterglow__046,afterglow,メンタルチェンソー (Cover),94.0,404.0,188.0,1.0,188.0,188.0,official
47,afterglow__047,afterglow,Bunny Girl (Cover),79.5,695.0,160.0,1.0,159.0,160.0,official
48,afterglow__048,afterglow,オレンジ (Cover),99.4,676.0,200.0,1.0,198.8,200.0,official
49,afterglow__049,afterglow,カゲロウデイズ (Cover),99.4,632.0,200.0,1.0,198.8,200.0,official
50,afterglow__050,afterglow,DAY×DAY (Cover),95.7,776.0,193.0,1.0,191.4,193.0,official
51,afterglow__051,afterglow,ロキ (Cover),147.7,253.0,150.0,1.0,147.7,150.0,official
52,afterglow__052,afterglow,CHAINSAW BLOOD (Cover),147.7,507.0,147.0,1.0,147.7,147.0,official
53,afterglow__053,afterglow,チルドレンレコード (Re:boot) (Cover),103.4,529.0,206.0,1.0,206.8,206.0,official
54,afterglow__054,afterglow,青のすみか (Cover),152.0,588.0,152.0,1.0,152.0,152.0,official
55,afterglow__055,afterglow,GO!!! (Cover),132.5,237.0,134.0,1.0,132.5,134.0,official
56,afterglow__056,afterglow,天ノ弱 (Cover),99.4,233.0,200.0,1.0,198.8,200.0,official
57,afterglow__057,afterglow,アスノヨゾラ哨戒班 (Cover),92.3,66.0,185.0,1.0,184.6,185.0,official
58,afterglow__058,afterglow,瞬間センチメンタル (Cover),84.7,163.0,168.0,1.0,169.4,168.0,official
59,afterglow__059,afterglow,プライド革命 (Cover),92.3,83.0,185.0,1.0,184.6,185.0,official
60,afterglow__060,afterglow,命に嫌われている。 (Cover),99.4,479.0,200.0,1.0,198.8,200.0,official
61,afterglow__061,afterglow,Redo (Cover),95.7,89.0,190.0,1.0,191.4,190.0,official
62,afterglow__062,afterglow,インフェルノ (Cover),92.3,252.0,185.0,1.0,184.6,185.0,official
63,afterglow__063,afterglow,ドラマツルギー (Cover),74.9,308.0,149.0,1.0,149.8,149.0,official
64,afterglow__064,afterglow,COLORS (Cover),136.0,378.0,136.0,1.0,136.0,136.0,official
65,afterglow__065,afterglow,午夜の待ち合わせ (Cover),94.0,195.0,189.0,1.0,188.0,189.0,official
66,afterglow__066,afterglow,サムライハート（Some Like It Hot!!） (Cover),112.3,319.0,113.0,1.0,112.3,113.0,official
67,afterglow__067,afterglow,ベノム (Cover),152.0,376.0,152.0,1.0,152.0,152.0,official
68,afterglow__068,afterglow,Don't say “lazy” (Cover),90.7,,,,181.4,181.4,estimated
69,afterglow__069,afterglow,Part of the Life,92.3,738.0,185.0,1.0,184.6,185.0,official
70,afterglow__070,afterglow,Punchline Halloween!!!,90.7,451.0,180.0,1.0,181.4,180.0,official
71,afterglow__071,afterglow,I love your way！,129.2,251.0,130.0,2.0,129.2,130.0,official
72,ave_mujica__072,ave_mujica,KiLLKiSS,132.5,659.0,200.0,1.0,132.5,200.0,official
73,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",143.6,661.0,142.0,1.0,143.6,142.0,official
74,ave_mujica__074,ave_mujica,Imprisoned XII,105.5,670.0,158.0,1.0,211.0,158.0,official
75,ave_mujica__075,ave_mujica,Crucifix X,136.0,671.0,103.0,1.0,136.0,103.0,official
76,ave_mujica__076,ave_mujica,八芒星ダンス,114.8,682.0,114.0,5.0,114.8,114.0,official
77,ave_mujica__077,ave_mujica,顔,139.7,685.0,140.0,1.0,139.7,140.0,official
78,ave_mujica__078,ave_mujica,天球のMúsica,129.2,,,,129.2,129.2,estimated
79,ave_mujica__079,ave_mujica,黒のバースデイ,99.4,705.0,198.0,2.0,198.8,198.0,official
80,ave_mujica__080,ave_mujica,ふたつの月 ~Deep Into The Forest~,120.2,,,,120.2,120.2,estimated
81,ave_mujica__081,ave_mujica,Choir ‘S’ Choir,147.7,,,,147.7,147.7,estimated
82,ave_mujica__082,ave_mujica,神さま、バカ,120.2,,,,120.2,120.2,estimated
83,ave_mujica__083,ave_mujica,Mas?uerade Rhapsody Re?uest,95.7,737.0,190.0,1.0,191.4,190.0,official
84,ave_mujica__084,ave_mujica,Ave Mujica,112.3,531.0,222.0,12.0,112.3,222.0,official
85,ave_mujica__085,ave_mujica,Symbol I : △,117.5,,,,117.5,117.5,estimated
86,ave_mujica__086,ave_mujica,Symbol II : Air,99.4,,,,198.8,198.8,estimated
87,ave_mujica__087,ave_mujica,Symbol III : ▽,166.7,,,,166.7,166.7,estimated
88,ave_mujica__088,ave_mujica,Symbol IV : Earth,147.7,,,,147.7,147.7,estimated
89,ave_mujica__089,ave_mujica,Ether,126.0,,,,126.0,126.0,estimated
90,ave_mujica__090,ave_mujica,The Whole Blue World,99.4,,,,198.8,198.8,estimated
91,ave_mujica__091,ave_mujica,in your blue eyes,95.7,,,,191.4,191.4,estimated
92,ave_mujica__092,ave_mujica,素晴らしき世界 でも どこにもない場所,132.5,,,,132.5,132.5,estimated
93,ave_mujica__093,ave_mujica,Angles,129.2,,,,129.2,129.2,estimated
94,ave_mujica__094,ave_mujica,DIVINE,117.5,,,,117.5,117.5,estimated
95,ave_mujica__095,ave_mujica,Sophie,99.4,,,,198.8,198.8,estimated
96,ave_mujica__096,ave_mujica,‘S/’ The Way,156.6,,,,156.6,156.6,estimated
97,ave_mujica__097,ave_mujica,碧い瞳の中に,95.7,,,,191.4,191.4,estimated
98,ave_mujica__098,ave_mujica,堕天 (Cover),103.4,,,,206.8,206.8,estimated
99,ave_mujica__099,ave_mujica,KINGS (Cover),87.6,,,,175.2,175.2,estimated
100,ave_mujica__100,ave_mujica,暗黒天国 (Cover),95.7,,,,191.4,191.4,estimated
101,various_artists__101,various_artists,Don't be afraid!,90.7,,,,181.4,181.4,estimated
102,various_artists__102,various_artists,Glee! Glee! Glee!,90.7,,,,181.4,181.4,estimated
103,various_artists__103,various_artists,"Be shine, shining!",117.5,,,,117.5,117.5,estimated
104,various_artists__104,various_artists,"Here, the world",123.0,,,,123.0,123.0,estimated
